image,01_gengdi,02_yuandi,03_lindi,04_caodi,05_fangwujianzhu,06_road,07_gouzhuwu,08_rengong,09_huangmo,10_water
01_gengdi,0.797695,0.047611,0.063662,0.073368,0.000904,0.003157,0.007376,0.002907,0.002104,0.001216
01_gengdi,0.992836,0.005435,0.000231,0.001142,0.000003,0.000082,0.000130,0.000101,0.000030,0.000009
01_gengdi,0.083795,0.031932,0.186707,0.246766,0.375395,0.016868,0.040350,0.008721,0.005953,0.003514
01_gengdi,0.901930,0.027124,0.022630,0.039404,0.000180,0.002097,0.002207,0.001804,0.001861,0.000764
01_gengdi,0.987481,0.010023,0.000215,0.001205,0.000002,0.000707,0.000185,0.000061,0.000064,0.000056
01_gengdi,0.939214,0.036114,0.005490,0.014972,0.000050,0.000906,0.002051,0.000741,0.000391,0.000072
01_gengdi,0.980473,0.014555,0.000777,0.002661,0.000016,0.000934,0.000279,0.000073,0.000186,0.000045
01_gengdi,0.163866,0.116180,0.048740,0.075065,0.474400,0.006996,0.099193,0.009332,0.002614,0.003614
01_gengdi,0.966530,0.015859,0.004235,0.008379,0.000017,0.002744,0.001358,0.000226,0.000446,0.000206
01_gengdi,0.337398,0.279966,0.026823,0.068762,0.088080,0.002736,0.172136,0.017797,0.003267,0.003034
01_gengdi,0.987833,0.008029,0.000387,0.002279,0.000018,0.000207,0.000652,0.000485,0.000067,0.000042
01_gengdi,0.983613,0.010440,0.000730,0.003989,0.000010,0.000135,0.000325,0.000562,0.000124,0.000070
01_gengdi,0.944588,0.015889,0.012021,0.016393,0.001091,0.000808,0.005424,0.003048,0.000574,0.000164
01_gengdi,0.974870,0.011452,0.000549,0.003664,0.000425,0.000433,0.006946,0.001401,0.000141,0.000118
01_gengdi,0.981932,0.010437,0.001690,0.004423,0.000042,0.000288,0.000529,0.000445,0.000127,0.000087
01_gengdi,0.965306,0.027097,0.001369,0.004827,0.000011,0.000341,0.000466,0.000255,0.000184,0.000144
01_gengdi,0.984427,0.007832,0.001213,0.004006,0.000071,0.000174,0.001045,0.001059,0.000139,0.000033
01_gengdi,0.979130,0.016200,0.000490,0.001722,0.000216,0.000363,0.001264,0.000506,0.000057,0.000050
01_gengdi,0.991974,0.005426,0.000212,0.001669,0.000006,0.000115,0.000240,0.000276,0.000048,0.000033
01_gengdi,0.054431,0.016884,0.006463,0.082784,0.026932,0.001904,0.778095,0.030401,0.000739,0.001367
01_gengdi,0.973472,0.018577,0.002562,0.003928,0.000048,0.000203,0.000442,0.000584,0.000146,0.000038
01_gengdi,0.968810,0.017563,0.004356,0.007383,0.000034,0.000292,0.000440,0.000812,0.000254,0.000057
01_gengdi,0.990476,0.006628,0.000319,0.001180,0.000025,0.000832,0.000375,0.000087,0.000063,0.000016
01_gengdi,0.601716,0.078642,0.017891,0.072288,0.054544,0.001742,0.151078,0.019951,0.001290,0.000858
01_gengdi,0.003551,0.005941,0.003791,0.014993,0.931288,0.000320,0.035435,0.004009,0.000378,0.000295
01_gengdi,0.667438,0.158519,0.007715,0.109862,0.001912,0.000469,0.041362,0.011638,0.000567,0.000520
01_gengdi,0.959528,0.016764,0.003762,0.010806,0.000135,0.000513,0.006421,0.001679,0.000241,0.000151
01_gengdi,0.159392,0.072532,0.018227,0.068114,0.160306,0.006126,0.486920,0.019856,0.002935,0.005594
01_gengdi,0.839097,0.073256,0.008689,0.046310,0.001413,0.000709,0.023742,0.005853,0.000589,0.000343
01_gengdi,0.922309,0.026412,0.001828,0.023434,0.001204,0.000553,0.018192,0.005444,0.000523,0.000102
01_gengdi,0.662427,0.049760,0.089087,0.179375,0.000078,0.004510,0.004625,0.005340,0.002488,0.002310
01_gengdi,0.905472,0.040787,0.016624,0.032508,0.000045,0.000288,0.000825,0.002558,0.000695,0.000198
